mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2975313186645508,0.047873470002460866,0.0008024692535400391,8.252595225441599e-05,entropy,20,2,5,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.575,0.525,0.6,0.575,0.575,0.5700000000000001,0.024494897427831765,32
0.2749623775482178,0.04769032315500986,0.0007652759552001954,6.0712325642531574e-05,entropy,20,2,10,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.2499319553375244,0.012204502559617915,0.0007684230804443359,4.156559722721903e-05,entropy,20,4,2,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.5,0.525,0.6,0.575,0.55,0.55,0.03535533905932736,64
0.2733149528503418,0.04819363703844832,0.0013024330139160157,0.0009578911228569331,entropy,20,4,5,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.5,0.525,0.6,0.575,0.55,0.55,0.03535533905932736,64
0.24550857543945312,0.019160128425189406,0.0008073806762695313,5.99376151879902e-05,entropy,20,4,10,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.2812967777252197,0.023331006407286727,0.0007907390594482422,0.0001289760865409561,log_loss,,1,2,"{'criterion': 'log_loss', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.525,0.5,0.65,0.5,0.575,0.55,0.0570087712549569,64
0.2924668788909912,0.041668536721947036,0.000805521011352539,7.258608122194395e-05,log_loss,,1,5,"{'criterion': 'log_loss', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.575,0.5,0.6,0.575,0.575,0.5650000000000001,0.03391164991562633,45
0.33612260818481443,0.04949285642850905,0.0008283138275146484,8.229667849092989e-05,log_loss,,1,10,"{'criterion': 'log_loss', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.2563484668731689,0.012967577380012144,0.0007428646087646485,1.4160056566019069e-05,log_loss,,2,2,"{'criterion': 'log_loss', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.5,0.525,0.6,0.625,0.575,0.5650000000000001,0.04636809247747851,45
0.25383682250976564,0.011638484477955399,0.0007753849029541015,5.425924973636781e-05,log_loss,,2,5,"{'criterion': 'log_loss', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.575,0.525,0.6,0.575,0.575,0.5700000000000001,0.024494897427831765,32
0.31573686599731443,0.042350829278299716,0.0008445262908935546,8.519365418876773e-05,log_loss,,2,10,"{'criterion': 'log_loss', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.24308271408081056,0.017400274451178525,0.0007432937622070312,2.4858084053383e-05,log_loss,,4,2,"{'criterion': 'log_loss', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.5,0.525,0.6,0.575,0.55,0.55,0.03535533905932736,64
0.24270329475402833,0.015719207858396703,0.0007573127746582031,4.1604035221744185e-05,log_loss,,4,5,"{'criterion': 'log_loss', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.5,0.525,0.6,0.575,0.55,0.55,0.03535533905932736,64
0.27940826416015624,0.061927650360280556,0.0008304595947265625,7.712601874651375e-05,log_loss,,4,10,"{'criterion': 'log_loss', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.5,0.625,0.6,0.575,0.575,0.575,0.04183300132670378,10
0.24541139602661133,0.0014218550153990291,0.0007902145385742188,5.390698379081095e-05,log_loss,5,1,2,"{'criterion': 'log_loss', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.475,0.5,0.55,0.45,0.55,0.505,0.04000000000000002,98
0.300781774520874,0.051624957782597895,0.0008150100708007813,7.597298462971539e-05,log_loss,5,1,5,"{'criterion': 'log_loss', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.45,0.5,0.55,0.525,0.55,0.515,0.03741657386773943,96
0.2677339553833008,0.053347851650793435,0.0007738590240478516,5.874266086564466e-05,log_loss,5,1,10,"{'criterion': 'log_loss', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.475,0.625,0.55,0.525,0.55,0.5450000000000002,0.048476798574163295,82
